data,dia_semana,tipo,descricao,observacao
2022-01-01,sabado,nacional,Confraternizacao Universal,cai em fim de semana (redundante p/ calculo); dentro da suspensao do art. 220 (redundante)
2022-02-28,segunda,facultativo,Carnaval,
2022-03-01,terca,feriado,Carnaval,
2022-03-02,quarta,facultativo,Quarta-feira de Cinzas,
2022-04-14,quinta,forense,"Quinta-feira Santa (art. 267, I, LC 17/97)",
2022-04-15,sexta,nacional,Paixao de Cristo (Sexta-feira Santa),
2022-04-21,quinta,nacional,Tiradentes,
2022-04-22,sexta,facultativo,Ponto Facultativo,
2022-05-01,domingo,nacional,Dia Mundial do Trabalho,cai em fim de semana (redundante p/ calculo)
2022-06-16,quinta,feriado,Corpus Christi,
2022-06-17,sexta,facultativo,Ponto Facultativo,
2022-07-04,segunda,facultativo,Instalacao do Poder Judiciario no Amazonas,
2022-08-11,quinta,facultativo,Dia do Advogado,
2022-09-05,segunda,estadual,Elevacao do Amazonas a categoria de Provincia,
2022-09-06,terca,facultativo,Ponto Facultativo,
2022-09-07,quarta,nacional,Independencia do Brasil,
2022-10-12,quarta,nacional,Nossa Senhora Aparecida,
2022-10-24,segunda,municipal,Elevacao de Manaus a categoria de Cidade,
2022-10-28,sexta,facultativo,Dia do Servidor Publico,
2022-11-02,quarta,nacional,Finados,
2022-11-14,segunda,facultativo,Ponto Facultativo,
2022-11-15,terca,nacional,Proclamacao da Republica,
2022-11-20,domingo,estadual,Dia da Consciencia Negra,cai em fim de semana (redundante p/ calculo)
2022-12-08,quinta,feriado,Nossa Senhora da Conceicao,
2022-12-08,quinta,forense,"Dia Consagrado a Justica (art. 267, II, LC 17/97)",
2022-12-09,sexta,facultativo,Ponto Facultativo,
2022-12-25,domingo,nacional,Natal,cai em fim de semana (redundante p/ calculo); dentro da suspensao do art. 220 (redundante)
2023-01-01,domingo,nacional,Confraternizacao Universal,cai em fim de semana (redundante p/ calculo); dentro da suspensao do art. 220 (redundante)
2023-02-20,segunda,facultativo,Carnaval,
2023-02-21,terca,feriado,Carnaval,
2023-02-22,quarta,facultativo,Quarta-feira de Cinzas,
2023-04-06,quinta,forense,"Quinta-feira Santa (art. 267, I, LC 17/97)",
2023-04-07,sexta,nacional,Paixao de Cristo (Sexta-feira Santa),
2023-04-21,sexta,nacional,Tiradentes,
2023-05-01,segunda,nacional,Dia Mundial do Trabalho,
2023-05-19,sexta,facultativo,Dia do Defensor Publico,
2023-06-08,quinta,feriado,Corpus Christi,
2023-06-09,sexta,facultativo,Ponto Facultativo,
2023-07-04,terca,facultativo,Instalacao do Poder Judiciario no Amazonas,
2023-08-11,sexta,facultativo,Dia do Advogado,
2023-09-05,terca,estadual,Elevacao do Amazonas a categoria de Provincia,
2023-09-06,quarta,facultativo,Ponto Facultativo,
2023-09-07,quinta,nacional,Independencia do Brasil,
2023-10-12,quinta,nacional,Nossa Senhora Aparecida,
2023-10-13,sexta,facultativo,Ponto Facultativo,
2023-10-23,segunda,facultativo,Ponto Facultativo,
2023-10-24,terca,municipal,Elevacao de Manaus a categoria de Cidade,
2023-10-28,sabado,facultativo,Dia do Servidor Publico,cai em fim de semana (redundante p/ calculo)
2023-11-02,quinta,nacional,Finados,
2023-11-03,sexta,facultativo,Ponto Facultativo,
2023-11-14,terca,facultativo,Dia Nacional do Ministerio Publico,
2023-11-15,quarta,nacional,Proclamacao da Republica,
2023-11-20,segunda,estadual,Dia da Consciencia Negra,
2023-12-08,sexta,feriado,Nossa Senhora da Conceicao,
2023-12-08,sexta,forense,"Dia Consagrado a Justica (art. 267, II, LC 17/97)",
2023-12-25,segunda,nacional,Natal,dentro da suspensao do art. 220 (redundante)
2024-01-01,segunda,nacional,Confraternizacao Universal,dentro da suspensao do art. 220 (redundante)
2024-02-12,segunda,facultativo,Carnaval,
2024-02-13,terca,feriado,Carnaval,
2024-02-14,quarta,facultativo,Quarta-feira de Cinzas,
2024-03-28,quinta,forense,"Quinta-feira Santa (art. 267, I, LC 17/97)",
2024-03-29,sexta,nacional,Paixao de Cristo (Sexta-feira Santa),
2024-04-21,domingo,nacional,Tiradentes,cai em fim de semana (redundante p/ calculo)
2024-05-01,quarta,nacional,Dia Mundial do Trabalho,
2024-05-19,domingo,facultativo,Dia do Defensor Publico,cai em fim de semana (redundante p/ calculo)
2024-05-30,quinta,feriado,Corpus Christi,
2024-05-31,sexta,facultativo,Ponto Facultativo,
2024-07-04,quinta,facultativo,Instalacao do Poder Judiciario no Amazonas,
2024-08-11,domingo,facultativo,Dia do Advogado,cai em fim de semana (redundante p/ calculo)
2024-09-05,quinta,estadual,Elevacao do Amazonas a categoria de Provincia,
2024-09-06,sexta,facultativo,Ponto Facultativo,
2024-09-07,sabado,nacional,Independencia do Brasil,cai em fim de semana (redundante p/ calculo)
2024-10-12,sabado,nacional,Nossa Senhora Aparecida,cai em fim de semana (redundante p/ calculo)
2024-10-24,quinta,municipal,Elevacao de Manaus a categoria de Cidade,
2024-10-25,sexta,facultativo,Ponto Facultativo,
2024-10-28,segunda,facultativo,Dia do Servidor Publico,
2024-11-02,sabado,nacional,Finados,cai em fim de semana (redundante p/ calculo)
2024-11-14,quinta,facultativo,Dia Nacional do Ministerio Publico,
2024-11-15,sexta,nacional,Proclamacao da Republica,
2024-11-20,quarta,estadual,Dia da Consciencia Negra,
2024-12-08,domingo,feriado,Nossa Senhora da Conceicao,cai em fim de semana (redundante p/ calculo)
2024-12-08,domingo,forense,"Dia Consagrado a Justica (art. 267, II, LC 17/97)",cai em fim de semana (redundante p/ calculo)
2024-12-25,quarta,nacional,Natal,dentro da suspensao do art. 220 (redundante)
2025-01-01,quarta,nacional,Confraternizacao Universal,dentro da suspensao do art. 220 (redundante)
2025-03-03,segunda,facultativo,Carnaval,
2025-03-04,terca,feriado,Carnaval,
2025-03-05,quarta,facultativo,Quarta-feira de Cinzas,
2025-04-17,quinta,forense,"Quinta-feira Santa (art. 267, I, LC 17/97)",
2025-04-18,sexta,nacional,Paixao de Cristo (Sexta-feira Santa),
2025-04-21,segunda,nacional,Tiradentes,
2025-05-01,quinta,nacional,Dia Mundial do Trabalho,
2025-05-02,sexta,facultativo,Ponto Facultativo,
